IDFertilization,"Fertilization_NPK","Fertilization_NPK_Dose","Fertilization_NPK_Dose_Unit","Fertilization_NPK_Dose_Unit_Type","Fertilization_NPK_Dose_Product_Name",IDCrop_Crop
2321,"N","NA","NA","NA","NA",853
2322,"N","NA","NA","NA","NA",854
2323,"N","NA","NA","NA","NA",857
2324,"N","NA","NA","NA","NA",858
2325,"N","NA","NA","NA","NA",859
2326,"N","NA","NA","NA","NA",860
2327,"N","NA","NA","NA","NA",861
2328,"N","NA","NA","NA","NA",862
2329,"N","8.00","kg.ha-1","N","Ammonium sulphate",864
2330,"N","8.00","kg.ha-1","N","Ammonium sulphate",865
2331,"N","8.00","kg.ha-1","N","Ammonium sulphate",866
2332,"N","8.00","kg.ha-1","N","Ammonium sulphate",867
2333,"N","8.00","kg.ha-1","N","Ammonium sulphate",869
2334,"N","8.00","kg.ha-1","N","Ammonium sulphate",870
2335,"N","8.00","kg.ha-1","N","Ammonium sulphate",871
2336,"N","8.00","kg.ha-1","N","Ammonium sulphate",872
2337,"N","NA","NA","NA","NA",873
2338,"N","NA","NA","NA","NA",874
2339,"N","NA","NA","NA","NA",875
2340,"N","NA","NA","NA","NA",876
2341,"N","NA","NA","NA","NA",877
2342,"N","NA","NA","NA","NA",878
2343,"N","NA","NA","NA","NA",879
2344,"N","NA","NA","NA","NA",880
2345,"N","8.00","kg.ha-1","N","Ammonium sulphate",881
2346,"N","8.00","kg.ha-1","N","Ammonium sulphate",882
2347,"N","8.00","kg.ha-1","N","Ammonium sulphate",883
2348,"N","8.00","kg.ha-1","N","Ammonium sulphate",884
2349,"N","8.00","kg.ha-1","N","Ammonium sulphate",885
2350,"N","8.00","kg.ha-1","N","Ammonium sulphate",887
2351,"N","8.00","kg.ha-1","N","Ammonium sulphate",888
2352,"N","8.00","kg.ha-1","N","Ammonium sulphate",890
2353,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",853
2354,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",854
2355,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",857
2356,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",858
2357,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",859
2358,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",860
2359,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",861
2360,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",862
2361,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",864
2362,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",865
2363,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",866
2364,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",867
2365,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",869
2366,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",870
2367,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",871
2368,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",872
2369,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",873
2370,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",874
2371,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",875
2372,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",876
2373,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",877
2374,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",878
2375,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",879
2376,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",880
2377,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",881
2378,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",882
2379,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",883
2380,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",884
2381,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",885
2382,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",887
2383,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",888
2384,"P","69.00","kg.ha-1","P2O5","Triple super phosphate",890
2385,"K","NA","NA","NA","NA",853
2386,"K","NA","NA","NA","NA",854
2387,"K","NA","NA","NA","NA",857
2388,"K","NA","NA","NA","NA",858
2389,"K","NA","NA","NA","NA",859
2390,"K","NA","NA","NA","NA",860
2391,"K","NA","NA","NA","NA",861
2392,"K","NA","NA","NA","NA",862
2393,"K","NA","NA","NA","NA",864
2394,"K","NA","NA","NA","NA",865
2395,"K","NA","NA","NA","NA",866
2396,"K","NA","NA","NA","NA",867
2397,"K","NA","NA","NA","NA",869
2398,"K","NA","NA","NA","NA",870
2399,"K","NA","NA","NA","NA",871
2400,"K","NA","NA","NA","NA",872
2401,"K","NA","NA","NA","NA",873
2402,"K","NA","NA","NA","NA",874
2403,"K","NA","NA","NA","NA",875
2404,"K","NA","NA","NA","NA",876
2405,"K","NA","NA","NA","NA",877
2406,"K","NA","NA","NA","NA",878
